,기업명,채용공고,위치,위치상세,태그,마감일,경력
29,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP) (병역특례한정)",서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 2-7년
30,오나인솔루션즈코리아,Technical Consultant,서울 강남구,영동대로 417,"설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 10-15년
31,케이티넥스알(KTNexR),Data Architect (DA) (Data Ops팀),서울 송파구,"서울 송파구 올림픽로 295, 삼성생명 잠실빌딩 16층","자기계발지원,통신비,커피·스낵바,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 1-4년
32,스트리미(Streami),가상자산거래소 월렛팀 엔지니어,서울 강남구,"논현동 192-19, 12층","건강검진지원,식대지원,유망산업,커피·스낵바,유연근무,재택근무,장비지원,자기계발지원,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-7년
33,의식주컴퍼니(런드리고),[100억↑투자] 머신러닝 엔지니어(2년이상),서울 용산구,"서울특별시 용산구 서빙고로 17(한강로3가), 센트럴파크타워 10층","커피·스낵바,자기계발지원,편의시설,건강검진지원,식대지원,장비지원,재택근무,스톡옵션,301~1,000명,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 2-10년
34,덴컴,AI 응용 프로그램 개발 풀스택 개발자,서울 강남구,"서울특별시 강남구 삼성로85길 26, V&S 14층","유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 5-10년
35,쏘카(SOCAR),Technical Project Manager (Data),서울 성동구,"서울특별시 성동구 왕십리로 83-21, 아크로서울포레스트 디타워 5F","자유로운휴가,어린이돌봄,유연근무,건강검진지원,휴가비,설립10년이상,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.05.31,경력 2-10년
36,웨이커,AI NLP 엔지니어(RAG 최적화),서울 강남구,"서울특별시 강남구 선릉로 667 11층 waiker, Inc","유망산업,자기계발지원,건강검진지원,유연근무,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",2024.07.31,경력 3-10년
37,데이터라이즈,[100억↑투자] Data Engineer,서울 강남구,"서울특별시 강남구 도곡로 205, YK빌딩 6층","자기계발지원,커피·스낵바,재택근무,건강검진지원,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 2-10년
38,테크핀레이팅스,신용평가 모델러,서울 중구,서울시 중구 을지로 29,"편의시설,사내동호회,설립3년이하,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 10-30년
39,어니스트펀드,CSS솔루션 매니저,서울 강남구,"서울특별시 강남구 선릉로93길 40, 나라키움 역삼 A빌딩 6층","건강검진지원,유망산업,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년,유연근무,리프레시휴가,편의시설,식대지원,유망산업,스톡옵션,커피·스낵바,설립4~9년",상시채용,경력 3-15년
40,도슨티,AI engineer (prompt engineer),서울 ,서울 관악구 남현동 승방4길2 네스코 수피아,,상시채용,신입-경력 15년
41,오케스트로,Data Engineer,서울 영등포구,"서울특별시 영등포구 여의도동 국제금융로 52 6,7층","자기계발지원,자유로운휴가,건강검진지원,식대지원,유망산업,301~1,000명,설립4~9년,전문연구요원",상시채용,경력 3-10년
42,앤서스랩코리아,[DX]Data Warehouse Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,301~1,000명,설립10년이상",상시채용,경력 5-11년
43,클래스유,백엔드 개발자 (B.E),서울 중구,서울특별시 중구 을지로 264 11층,"식대지원,커피·스낵바,설립4~9년",상시채용,경력 3-6년
44,식스티헤르츠,Data Scientist,서울 성동구,성수동1가 656-75,"자유로운휴가,커피·스낵바,식대지원,건강검진지원,자기계발지원,설립3년이하",2024.05.31,경력 3-8년
45,해긴,데이터 기획 및 분석 (BI),서울 구로구,구로구 경인로 662 디큐브시티 타워동 39층,"편의시설,자유로운휴가,대출지원,스톡옵션,식대지원,커피·스낵바,건강검진지원,보너스,설립4~9년",상시채용,경력 5-10년
46,한화생명보험,[COE부문] AI Modeling Engineer,서울 영등포구,"서울특별시 영등포구 63로 50, 63한화생명 빌딩","유망산업,설립10년이상,1,001~10,000명",2024.05.23,경력 5-15년
47,쿼리시스템즈,자사 제품 개발 AI 전문가,경기 성남시,성남시 분당구 서현동 246-2 신영팰리스타워,"유망산업,설립10년이상",상시채용,경력 5-20년
48,빗썸코리아,[빗썸] DBA,서울 강남구,"서울시 강남구 테헤란로 124, 삼원타워 14~18F","유망산업,사내동호회,커피·스낵바,대출지원,식대지원,어린이돌봄,건강검진지원,복지포인트,301~1,000명,설립10년이상",상시채용,경력 7-15년
49,콜랩코리아,[DATA팀] Data Analyst,서울 강남구,서울시 강남구 논현동 57-19 ESPACE8 4층,"건강검진지원,유연근무,재택근무,통신비,설립4~9년",2024.06.07,경력 1-3년
50,에너넷,BE 개발자,서울 ,www.iener.net,"육아휴직,출산휴가,자율복장,설립4~9년",상시채용,경력 5-10년
51,앰버로드,PM 및 백엔드 엔지니어,서울 강남구,서울 강남구 역삼동 선릉로 551,"자유로운휴가,커피·스낵바,유망산업,식대지원",상시채용,경력 5-15년
52,하이(Haii),데이터 사이언티스트,서울 종로구,"종로구 삼일대로 428, 낙원상가 501호","유망산업,자유로운휴가,커피·스낵바,자기계발지원,재택근무,보너스,건강검진지원,설립4~9년",상시채용,경력 2-5년
