,기업명,채용공고,위치,위치상세,태그,마감일,경력
82,소프트베리,EVI Data 사이언티스트,서울 서초구,서울특별시 서초구 매헌로 24 NH디지털혁신캠퍼스 5층,"편의시설,자기계발지원,커피·스낵바,유연근무,건강검진지원,복지포인트,연봉상위11~20%,50명이하,설립4~9년",상시채용,경력 3-8년
83,"우아한형제들(배달의민족,Tech)",Data Scientist / MLOps Engineer,서울 송파구,서울시 송파구 올림픽로 295 삼성생명빌딩,"유연근무,보너스,어린이돌봄,단체보험,복지포인트,장비지원,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 7-20년
84,핀다(FINDA),데이터 사이언티스트,서울 강남구,"서울 강남구 테헤란로 518, (대치동) 한국섬유산업연합회 4층 핀다","건강검진지원,스톡옵션,커피·스낵바,보너스,산업기능요원,연봉상위2~5%,51~300명,설립4~9년",상시채용,경력 5-8년
85,에스알파테라퓨틱스,임상 통계분석 (Biostatistician),서울 서초구,"(에스알파테라퓨틱스) 서울특별시 서초구 강남대로 311, 드림플러스빌딩","커피·스낵바,편의시설,유연근무,재택근무,유급휴가,건강검진지원,출산휴가,전문연구요원,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 1-5년
86,롯데정보통신,[Data&AI사업팀] Data Scientist,서울 금천구,서울특별시 금천구 가산디지털2로 179 롯데정보통신,"복지포인트,출산휴가,육아휴직,유연근무,단체보험,건강검진지원,어린이돌봄,자기계발지원,유망산업,연봉상위1%,1,001~10,000명,설립4~9년",상시채용,경력 9-12년
87,더스윙,[SWING] 데이터 사이언티스트,서울 용산구,용산구 서빙고로 17 센트럴파크타워,"자기계발지원,식대지원,유급휴가,커피·스낵바,건강검진지원,스톡옵션,연봉업계평균이상,51~300명,설립4~9년",상시채용,경력 1-10년
88,클로인트,온체인 데이터 조사역,서울 서초구,서초구,"유망산업,건강검진지원,장비지원,커피·스낵바",상시채용,경력 3-15년
89,통신대안평가준비법인,Head of Data (CIAP),서울 강남구,"서울특별시 강남구 테헤란로 201, 아주빌딩 10층","편의시설,커피·스낵바,통신비,자기계발지원,사내동호회,식대지원,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,경력 15-20년
90,엘지유플러스(LG유플러스),[CDO] AI Scientist 초거대언어모델,서울 강서구,마곡사이언스파크,"유연근무,의료비지원,장비지원,임직원할인,육아휴직,건강검진지원,사내동호회,어린이돌봄,복지포인트,유망산업,연봉상위1%,인원급성장,10,001명이상,퇴사율 6~10%,설립10년이상",2024.06.30,경력 3-5년
91,몰로코,Senior Data Scientist - Ads Performance,서울 강남구,서울 강남구 역삼 센터필드 West 8층,"유연근무,통신비,재택근무,자기계발지원,식대지원,연봉상위1%,51~300명,설립10년이상",상시채용,경력 3-20년
92,롯데정보통신,[Data&AI사업팀] Data Analytics,서울 금천구,서울특별시 금천구 가산디지털2로 179 롯데정보통신,"복지포인트,출산휴가,육아휴직,유연근무,단체보험,건강검진지원,어린이돌봄,자기계발지원,유망산업,연봉상위1%,1,001~10,000명,설립4~9년",상시채용,경력 7-10년
93,콜랩코리아,[DATA팀] Data Analyst,서울 강남구,서울시 강남구 논현동 57-19 ESPACE8 4층,"건강검진지원,유연근무,재택근무,통신비,50명이하,설립4~9년",2024.06.07,경력 1-3년
