,기업명,채용공고,위치,위치상세,태그,마감일,경력
212,웨이커,AI NLP 엔지니어(RAG 최적화),서울 강남구,"서울특별시 강남구 선릉로 667 11층 waiker, Inc","유망산업,자기계발지원,건강검진지원,유연근무,커피·스낵바,연봉상위2~5%,인원급성장,50명이하,설립4~9년",2024.07.31,경력 3-10년
213,웰스가이드,Full-stack Developer,서울 ,"관악구 관악로1, 서울대학교연구공원본관(940동) 3층","스톡옵션,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 5-10년
214,코딧(CODITCorp.),머신러닝 엔지니어 (3년이상),서울 강남구,"서울시 강남구 봉은사로 465, 8층","자유로운휴가,커피·스낵바,보너스,장비지원,편의시설,스톡옵션,50명이하,설립4~9년,연봉상위11~20%",상시채용,경력 3-20년
215,쏘카(SOCAR),Technical Project Manager (Data),서울 성동구,"서울특별시 성동구 왕십리로 83-21, 아크로서울포레스트 디타워 5F","자유로운휴가,어린이돌봄,유연근무,건강검진지원,휴가비,설립10년이상",2024.05.31,경력 2-10년
216,다우기술,금융 데이터 엔지니어,서울 마포구,"서울 마포구 독막로 311, 재화스퀘어","유연근무,자기계발지원,복지포인트,대출지원,연봉상위1%,인원급성장,301~1,000명,설립10년이상",2024.05.12,경력 3-6년
217,앤서스랩코리아,[ATI]AI Engineer,서울 강남구,"서울특별시 강남구 언주로 609, PAX TOWER 4층","복지포인트,커피·스낵바,식대지원,사내동호회,자기계발지원,유망산업,연봉상위1%,인원급성장,301~1,000명,설립10년이상",상시채용,경력 5-10년
218,누비랩,[100억↑투자] 서비스 테크 리더,서울 강남구,서울특별시 강남구 테헤란로 625 덕명빌딩 6층,"커피·스낵바,식대지원,자유로운휴가,장비지원,건강검진지원,휴가비,편의시설,어린이돌봄,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 5-10년
219,엔닷라이트,웹 서비스 백엔드 개발자 (6년 이상),경기 성남시,"성남시 분당구 정자일로 95, 네이버 1784 4층","의료비지원,식대지원,보너스,커피·스낵바,건강검진지원,어린이돌봄,연봉업계평균이상,인원급성장,50명이하,퇴사율 6~10%,설립4~9년",상시채용,경력 6-15년
220,십단콤보,핀테크 SaaS 풀스택 개발,서울 영등포구,영등포구 선유동2로9 케이타워 10층,스톡옵션,상시채용,경력 2-10년
221,리코(recokr),[300억↑투자] [개발팀] 시니어 백엔드 개발자,서울 강남구,"서울 강남구 테헤란로83길 15, 제이엠빌딩","유연근무,장비지원,자기계발지원,건강검진지원,자유로운휴가,커피·스낵바,식대지원,리프레시휴가,연봉업계평균이상,51~300명,설립4~9년",2024.05.31,경력 7-12년
222,코인원(coinone),Web Frontend 개발자(7년이상),서울 영등포구,"서울특별시 영등포구 여의대로 108 파크원 타워1 45층, 46층","유망산업,식대지원,커피·스낵바,편의시설,자기계발지원,건강검진지원,워크샵,단체보험,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 7-15년
223,한국미용데이터,파이썬(AWS) 개발자,서울 관악구,서울 관악구 남부순환로 2072,"유연근무,복지포인트,인원급성장,50명이하,설립10년이상",2024.05.12,경력 1-5년
224,웅진,웹 시스템 설계,서울 중구,서울시 중구 청계천로 24 케이스퀘어시티,"출산휴가,육아휴직,편의시설,장비지원,건강검진지원,사내동호회,연봉상위2~5%,인원급성장,301~1,000명,설립10년이상",2024.05.31,경력 10-20년
225,이쿠얼키(인공지능수학 깨봉),Senior Backend Engineer(7년 이상),서울 강남구,서울시 강남구 선릉로 108길 51,"유망산업,자율복장,보너스,연봉업계평균이상,50명이하,설립4~9년",2024.05.30,경력 7-10년
226,테크빌교육,JAVA 웹 개발,서울 강남구,"서울시 강남구 언주로551, 프라자빌딩 5,6,8층","사내동호회,건강검진지원,워크샵,보너스,자기계발지원,육아휴직,유망산업,전문연구요원,연봉업계평균이상,51~300명,설립10년이상",상시채용,경력 5-7년
227,폴라리스오피스,LLMOps (1년 이상),서울 구로구,"서울시 구로구 디지털로31길 12, 15층 (구로동)","유연근무,건강검진지원,자기계발지원,편의시설,커피·스낵바,자유로운휴가,재택근무,유급휴가,의료비지원,유망산업,연봉상위2~5%,51~300명,설립10년이상",상시채용,경력 1-10년
228,넷스루,데이터솔루션엔지니어 수행 팀원 담당자,서울 성동구,"성동구 광나루로8길 31, 성수SKV1센터 2동 7층","편의시설,단체보험,유연근무,사내동호회,커피·스낵바,보너스,건강검진지원,자기계발지원,워크샵,연봉상위2~5%,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.06.30,경력 3-8년
229,스퀘어스,[스마트로그] 부정방지클릭 솔루션 백엔드 엔지니어 (5년 이상),서울 중구,"서울시 중구 을지로 158, 710호","커피·스낵바,스톡옵션,유연근무,연봉업계평균이상,인원급성장,50명이하,설립3년이하",2024.06.07,경력 5-8년
230,가우디오랩,C++ Software Engineer,서울 강남구,강남구 테헤란로 505,"커피·스낵바,보너스,자기계발지원,건강검진지원,스톡옵션,의료비지원,설립4~9년",2024.05.31,경력 1-3년
231,센트비(Sentbe),[Corporate Development] Data Analyst,서울 강남구,강남구 영동대로85길 34 5층 501호 (대치동),"자기계발지원,커피·스낵바,사내동호회,유급휴가,건강검진지원,설립4~9년",상시채용,경력 3-8년
232,로민,[전문연구요원] 백엔드 엔지니어,서울 서초구,"서울 서초구 방배천로2길 10, 7층","유망산업,유연근무,휴가비,커피·스낵바,유급휴가,재택근무,연봉상위6~10%,인원급성장,50명이하,설립4~9년",2024.05.31,경력 1-5년
233,클럼엘,[6년 이상] 시니어 Software Engineer (Frontend),서울 강남구,"서울 강남구 테헤란로26길 12, 제일비전타워 2층","스톡옵션,자율복장,자유로운휴가,재택근무,커피·스낵바,식대지원,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,경력 6-15년
234,클라썸,[200억↑투자] 앱(React Native) 개발자,서울 강남구,강남구 테헤란로2길 27 비전타워 1401호,"식대지원,커피·스낵바,자기계발지원,워크샵,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-20년
235,파이온코퍼레이션,브이캣 딥러닝 엔지니어,서울 강남구,"서울시 강남구 삼성로 85길 26, V&S 601호","통신비,커피·스낵바,편의시설,유연근무,재택근무,건강검진지원,식대지원,연봉상위1%,인원급성장,50명이하,설립4~9년",상시채용,경력 2-10년
236,메이크스타,[100억↑투자] Frontend Engineer (3년 이상),서울 강남구,강남구 학동로23길 29,"자유로운휴가,커피·스낵바,인원급성장,51~300명,설립4~9년",상시채용,경력 3-15년
237,알티엠,Junior Data Scientist (다변량 시계열),서울 강남구,서울시 강남구 역삼로3길 11 광성빌딩 10층,"스톡옵션,식대지원,유망산업,커피·스낵바,복지포인트,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 1-3년
238,제로더,웹 개발 (CTO),서울 성북구,서울특별시 성북구 종암로 18 서울바이오혁신커뮤니티센터 502호 제로더,"스톡옵션,식대지원,커피·스낵바,유급휴가",상시채용,경력 5-9년
239,에이트테크,AI데이터 매니저,서울 구로구,구로구,"자기계발지원,커피·스낵바,유망산업,설립4~9년",상시채용,경력 3-7년
240,윌로그,프론트엔드 개발 시니어 (5년 이상 10년 이하),서울 강남구,"서울특별시 강남구 삼성로 507, JS타워 9층","유연근무,편의시설,유급휴가,커피·스낵바,건강검진지원,자유로운휴가,식대지원,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,경력 5-10년
241,피지엠파트너스,프론트엔드 개발자 (React / Next.js),서울 성동구,서울 성동구 성수이로7길 27 서울숲 코오롱디지털타워2차 710호,"커피·스낵바,연봉상위1%,인원급성장,50명이하,설립4~9년",상시채용,경력 4-10년
242,에스에이치아이,스마트팩토리 MES 개발자,경기 성남시,"경기도 성남시 분당구 성남대로331번길 8,1401호","보너스,설립4~9년",상시채용,경력 5-15년
243,하나금융티아이,[하나금융융합기술원] Data Scientist,서울 강남구,서울특별시 강남구 테헤란로 127,"유망산업,의료비지원,연봉상위1%,인원급성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 5-15년
244,하나금융티아이,[하나금융융합기술원] Data Scientist,서울 강남구,서울특별시 강남구 테헤란로 127,"유망산업,의료비지원,연봉상위1%,인원급성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 5-15년
245,라온피플,Senior(Cloud)시스템 엔지니어,경기 성남시,"경기도 성남시 분당구 판교로 723, 분당테크노파크 B동 402-3호","유망산업,식대지원,건강검진지원,커피·스낵바,연봉상위1%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-7년
246,코인원(coinone),서버 엔진 개발자(C++),서울 영등포구,"서울특별시 영등포구 여의대로 108 파크원 타워1 45층, 46층","유망산업,식대지원,커피·스낵바,편의시설,자기계발지원,건강검진지원,워크샵,단체보험,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 5-20년
247,이글루클라우드,백엔드 개발자,서울 마포구,"서울시 마포구 마포대로 38, 일신빌딩 9층","장비지원,커피·스낵바,자기계발지원,인원급성장,50명이하,설립4~9년",상시채용,경력 4-7년
248,홈리에종,백엔드 개발자,서울 성동구,성동구 성수일로 10 605호,"자유로운휴가,유망산업,인원급성장,50명이하,설립4~9년",2024.05.18,경력 3-5년
249,포바이포,영상화질개선 기술개발,서울 강남구,"서초구 강남대로 479, 신논현타워 12~14층","커피·스낵바,보너스,유급휴가,건강검진지원,식대지원,연봉상위1%,51~300명,설립4~9년",상시채용,경력 2-6년
250,마스오토,플랫폼 엔지니어,서울 서초구,"서초구 논현로 145, 수냐빌딩 3층","스톡옵션,식대지원,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 3-10년
251,멋쟁이사자처럼,[TECHIT] 백엔드 개발자,서울 종로구,"서울특별시 종로구 종로3길 17, D1동 16층(청진동, D타워)","유연근무,식대지원,커피·스낵바,건강검진지원,유망산업,연봉상위11~20%,51~300명,설립4~9년",상시채용,경력 10-15년
252,플레이태그,백엔드 엔지니어,서울 강남구,강남구 강남대로 140번길 9 (논현동21-16) 마커스신사 5층,"어린이돌봄,유망산업,출산휴가,커피·스낵바,자기계발지원,리프레시휴가,식대지원,설립3년이하",상시채용,경력 3-5년
253,씨제이대한통운(CJ대한통운),[TES물류기술연구소] SW 개발/운영 (설비제어),서울 종로구,"서울 종로구 종로5길 7, CJ대한통운","자기계발지원,편의시설,식대지원,사내동호회,의료비지원,연봉상위1%,인원성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 5-12년
254,한화생명보험,[COE부문] AI Modeling Engineer,서울 영등포구,"서울특별시 영등포구 63로 50, 63한화생명 빌딩","유망산업,연봉상위1%,인원급성장,설립10년이상,1,001~10,000명",2024.05.23,경력 5-15년
255,고퀄(GOQUAL),서버 개발자,서울 금천구,서울특별시 금천구 가산디지털1로 165. 가산비지니스센터 1301호,"유급휴가,커피·스낵바,식대지원,연봉상위11~20%,51~300명,설립10년이상",상시채용,경력 5-10년
256,프롬나드에이아이,시니어 프론트엔드 개발자,서울 강남구,서울특별시 강남구 역삼로 169,"보너스,유연근무,식대지원,커피·스낵바,자기계발지원,50명이하,설립3년이하",상시채용,경력 5-20년
257,물류대장,"네이티브 앱 개발자(React Native, 5년 이상)",서울 마포구,서울시 마포구 백범로 31길 21 서울창업허브본관,"자기계발지원,커피·스낵바,식대지원,설립3년이하",상시채용,경력 5-7년
258,플래티어,[그루비 SaaS 솔루션] 백엔드 개발자 (6년 이상),서울 송파구,서울시 송파구 법원로9길 26 H Business Park D동 6층,"유망산업,장비지원,편의시설,커피·스낵바,식대지원,사내동호회,유연근무,연봉상위1%,인원급성장,51~300명,설립10년이상",상시채용,경력 7-13년
259,포스페이스랩,Backend Developer,서울 강남구,강남구 테헤란로 147,"유연근무,자유로운휴가,설립4~9년",2024.05.31,경력 5-10년
260,디어유,SRE 포지션,서울 강남구,서울시 강남구 학동로 25길 37,"편의시설,자율복장,커피·스낵바,통신비,자기계발지원,건강검진지원,식대지원,보너스,연봉상위1%,설립4~9년",상시채용,경력 3-10년
261,휴톰,백엔드 개발자(3년 이상),서울 마포구,서울특별시 마포구 독막로 279 상장회사회관 6층,"유망산업,건강검진지원,커피·스낵바,복지포인트,보너스,유연근무,장비지원,자유로운휴가,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 3-20년
262,포티투닷(42dot),Frontend Engineer (차량 구독 서비스),서울 강남구,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층","유망산업,식대지원,건강검진지원,커피·스낵바,장비지원,자기계발지원,연봉상위1%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 5-15년
263,빗썸코리아,[빗썸] DBA,서울 강남구,"서울시 강남구 테헤란로 124, 삼원타워 14~18F","유망산업,사내동호회,커피·스낵바,대출지원,식대지원,어린이돌봄,건강검진지원,복지포인트,연봉상위1%,인원급성장,301~1,000명,설립10년이상",상시채용,경력 7-15년
264,에버엑스,AI 리서치 엔지니어 [전문연구요원],서울 서초구,서울 서초구 서리풀길 29-7,"커피·스낵바,워크샵,유연근무,연봉업계평균이상,인원급성장,50명이하,설립4~9년",상시채용,경력 2-9년
265,고미페이먼츠,B2B 수출 관리 플랫폼 풀스택 개발자,서울 강남구,"서울특별시 강남구 도산대로 145, 407호","유연근무,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,경력 2-5년
266,리얼드로우,AI Researcher (이미지 생성 모델링) 리더급,서울 마포구,"서울특별시 마포구 마포대로 122, 프론트원 17층","식대지원,건강검진지원,커피·스낵바,단체보험,자기계발지원,유급휴가",상시채용,경력 10-20년
267,후시파트너스,풀스택 & 백엔드 개발자(5년 이상),서울 영등포구,서울 영등포구 의사당대로 83 오투타워 6층,"스톡옵션,유연근무,보너스,인원급성장,50명이하,설립3년이하",상시채용,경력 5-9년
268,온코메드,알파핵종 알고리즘 개발자,서울 서초구,서울시 서초구 강남대로 311,"편의시설,장비지원,출산휴가,커피·스낵바,육아휴직,워크샵,유망산업,연봉업계평균이상,인원급성장,50명이하,설립4~9년",상시채용,경력 1-2년
269,해줌,[100억↑투자] 프론트엔드 개발 팀장,서울 송파구,"서울시 송파구 법원로 128, SK V1 A동 706호","자율복장,유연근무,육아휴직,편의시설,사내동호회,워크샵,유망산업,보너스,자기계발지원,커피·스낵바,건강검진지원,연봉업계평균이상,인원급성장,51~300명,설립10년이상",상시채용,경력 7-20년
270,메이즈,PHP 풀스택 라라벨 개발자,서울 구로구,"서울특별시 구로구 디지털로31길 20, 7층 704호(구로동, 에이스테크노타워5차)","커피·스낵바,스톡옵션,자율복장,자기계발지원,보너스,인원급성장,50명이하,설립3년이하",상시채용,경력 3-10년
271,브레인커머스,[잡플래닛] Data Engineer,서울 강남구,서울 강남구 테헤란로 509 10층,"식대지원,의료비지원,건강검진지원,커피·스낵바,스톡옵션,연봉상위11~20%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-10년
272,바른번역미디어,백엔드 개발자,서울 마포구,"서울시 마포구 어울마당로 26, 5층","커피·스낵바,장비지원,인원급성장,50명이하,설립4~9년",2024.05.31,경력 3-4년
273,더즌(dozn),플랫폼개발팀 프론트엔드(React Native) 개발자,서울 서초구,서초구 강남대로 465 강남교보타워 B동 16층 (서초동),"사내동호회,식대지원,출산휴가,설립4~9년,자기계발지원,리프레시휴가,휴가비,주35시간,건강검진지원,워크샵,육아휴직,커피·스낵바,유급휴가",상시채용,경력 6-10년
274,아이디테크,Web(웹) 개발자,서울 강서구,"서울 강서구 공항대로 228, 리더스타워 605호","유연근무,주35시간,자기계발지원,식대지원,보너스,커피·스낵바,연봉상위1%,인원급성장,50명이하,퇴사율 6~10%,설립10년이상",상시채용,경력 1-5년
275,베링랩,시니어 프론트엔드 개발자(5년 이상),서울 강남구,서울시 강남구 봉은사로 524 스파크플러스 B1F,"유망산업,장비지원,재택근무,유연근무,커피·스낵바,자기계발지원,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 5-8년
276,바이브컴퍼니,API 운영 개발자,서울 용산구,서울시 용산구 독서당로 97,"유망산업,의료비지원,건강검진지원,복지포인트,재택근무,식대지원,연봉업계평균이상,51~300명,설립10년이상",2024.05.29,경력 5-10년
277,가온프라임,이미지 생성 AI 프롬프트 엔지니어 (ComfyUI),서울 금천구,"서울 금천구 가산디지털2로 101, B동 14층 1402호","커피·스낵바,식대지원,연봉업계평균이상,인원급성장,50명이하,설립3년이하",상시채용,신입
278,지란지교데이터,보안 솔루션 엔진 기능 개발자 (3~8년) - 대전,대전 유성구,유성구 테크노 3로 65 한신에스메카 604,"자기계발지원,워크샵,편의시설,유연근무,식대지원,장비지원,커피·스낵바,사내동호회,재택근무,유망산업,연봉상위11~20%,인원급성장,51~300명,설립4~9년",2024.05.15,경력 3-8년
279,겟차,프론트엔드 챕터 리더(앱 개발),서울 강남구,서울특별시 강남구 봉은사로 125 리스트빌딩 B218,"자유로운휴가,연봉업계평균이상,51~300명,설립4~9년,건강검진지원",상시채용,경력 7-20년
280,넥스트플레이어,Sr. 웹 개발자(Java Spring),서울 용산구,"서울특별시 용산구 서빙고로 17, 센트럴파크타워 22층","자율복장,커피·스낵바,식대지원,유연근무,연봉상위11~20%,인원성장,51~300명,설립10년이상",상시채용,경력 7-12년
281,북스파이더,프론트 엔드 개발자 (3~10년),경기 파주시,"경기도 파주시 파주읍 윗가마울길 77, 3층","건강검진지원,식대지원,편의시설,재택근무",상시채용,경력 3-10년
282,해긴,데이터 기획 및 분석 (BI),서울 구로구,구로구 경인로 662 디큐브시티 타워동 39층,"편의시설,자유로운휴가,대출지원,스톡옵션,식대지원,커피·스낵바,건강검진지원,보너스,연봉상위2~5%,인원급성장,51~300명,설립4~9년",상시채용,경력 5-10년
283,포티투닷(42dot),3D Vision Engineer,서울 강남구,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층","유망산업,식대지원,건강검진지원,커피·스낵바,장비지원,자기계발지원,연봉상위1%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 5-20년
284,통하는사람들,프론트엔드 개발자(React Native) (3년 이상),서울 강남구,서울 강남구 테헤란로77길 11-9,"유연근무,자기계발지원,식대지원,보너스",상시채용,경력 3-8년
285,이지케어텍,의료 CDW 시스템관리(데이터) 담당자,경기 성남시,"성남시 분당구 근무 (정자역, 미금역)","의료비지원,사내동호회,건강검진지원,자기계발지원,복지포인트,연봉상위1%,301~1,000명,설립10년이상",상시채용,경력 1-10년
286,모빅랩,AI 연구원(병역특례 전문연구요원 가능),서울 서초구,서울 서초구 태봉로 114 한국교원단체총연합회 AI양재,"커피·스낵바,자기계발지원,건강검진지원,보너스,식대지원,유망산업,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 1-20년
287,디오에프연구소,3D Geometry SW 엔지니어,서울 성동구,서울시 성동구 성수일로77 601~02호,"통신비,커피·스낵바,식대지원,육아휴직,유연근무,워크샵,보너스,의료비지원,출산휴가,자기계발지원,건강검진지원,휴가비,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 1-15년
288,클로인트,블록체인 데이터 사이언티스트,서울 서초구,서초구,"유망산업,건강검진지원,장비지원,커피·스낵바",상시채용,경력 4-15년
289,쿠팡,Senior Back-end Engineer (SCM),서울 강남구,강남구 테헤란로 332 현정빌딩 (HJ 타워),"장비지원,편의시설,유연근무,식대지원,사내동호회,건강검진지원,보너스,커피·스낵바,재택근무,유망산업,연봉상위2~5%,10,001명이상,설립10년이상",상시채용,경력 3-15년
290,"우아한형제들(배달의민족,Tech)",AI실 추천프로덕트팀 데이터과학자,서울 송파구,서울시 송파구 위례성대로2 장은빌딩,"유연근무,보너스,어린이돌봄,단체보험,복지포인트,장비지원,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 7-21년
291,다이얼로그디자인에이전시,AI/NLP R&D Engineer (3년 이상),서울 송파구,서울시 송파구 송파대로 201 테라타워2 A 1014-1015,"유망산업,커피·스낵바,보너스,식대지원,인원급성장,50명이하,설립4~9년",상시채용,경력 3-5년
292,넛지헬스케어(캐시워크),풀스택 개발자(병역특례_현역/보충역),서울 강남구,서울특별시 강남구 역삼로1길 8,"편의시설,커피·스낵바,복지포인트,식대지원,인원급성장,51~300명,설립4~9년,건강검진지원",상시채용,신입-경력 3년
293,엠투클라우드,R&D팀 펌웨어 개발자,서울 송파구,서울특별시 송파구,"유연근무,장비지원,유급휴가,커피·스낵바,식대지원,설립4~9년",상시채용,경력 4-10년
294,쏘카(SOCAR),Data Analyst/Data Scientist,서울 성동구,"서울특별시 성동구 왕십리로 83-21, 아크로서울포레스트 디타워 5F","자유로운휴가,어린이돌봄,유연근무,건강검진지원,휴가비,설립10년이상",2024.05.31,경력 2-7년
295,데키스트,PHP 웹 개발자,경기 용인시,경기 용인시 기흥구 흥덕1로13,"커피·스낵바,자기계발지원,보너스,장비지원,어린이돌봄,리프레시휴가,건강검진지원,연봉업계평균이상,인원급성장,50명이하,퇴사율 6~10%,설립10년이상",상시채용,경력 3-10년
296,지니언스,엔드포인트보안연구개발실 Infra개발,경기 안양시,경기도 안양시 동안구 벌말로 66 평촌역 하이필드 A동 12층,"유연근무,식대지원,편의시설,건강검진지원,사내동호회,보너스,커피·스낵바,연봉상위1%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-7년
297,텐,인공지능 MLOps 플랫폼 프론트엔드 개발자 (5년 이상),서울 강남구,서울 강남구 역삼동 테헤란로 146 현익빌딩 1210호,"유망산업,자기계발지원,식대지원,연봉상위11~20%,인원급성장,50명이하,설립4~9년",상시채용,경력 5-20년
298,오케스트로,Front-end Developer(Private Cloud 구축/CMP 사업수행),서울 영등포구,"서울특별시 영등포구 여의도동 국제금융로 52 6,7층","자기계발지원,자유로운휴가,건강검진지원,식대지원,유망산업,연봉업계평균이상,인원급성장,301~1,000명,설립4~9년",상시채용,경력 3-10년
299,아이헤이트플라잉버그스,[600억↑투자] 백엔드 개발자 (시니어),서울 영등포구,"서울특별시 영등포구 여의대로 108 파크원 타워1, 38-39층","커피·스낵바,식대지원,사내동호회,인원급성장,301~1,000명,설립10년이상",상시채용,경력 5-10년
300,엠로(emro),글로벌플랫폼 EPI/ESI 모듈 리더,서울 영등포구,"서울 영등포구 당산로 41길 11, 당산 SK V1센터 E동 5층","식대지원,건강검진지원,대출지원,유급휴가,자기계발지원,보너스,사내동호회,연봉상위1%,인원급성장,301~1,000명,설립10년이상",상시채용,경력 10-20년
301,레드브릭,[100억↑투자] Frontend Software Engineer (5년 이상),서울 강남구,"서울시 강남구 강남대로 376 (8258빌딩) 11층, 레드브릭","유망산업,커피·스낵바,자유로운휴가,재택근무,연봉상위6~10%,50명이하,설립4~9년",상시채용,경력 5-10년
302,스코모트,알고리즘 연구원,서울 구로구,구로구 구로동로43길 41-8 대현빌딩 4층,"식대지원,커피·스낵바,자기계발지원,50명이하,설립3년이하",2024.05.31,신입
303,네오비소프트,Web Service Full Stack Engineer,서울 서초구,"서울 서초구 방배천로 18길 11, 방배롯데캐슬아르떼 상가 A동 201호","자율복장,커피·스낵바,자기계발지원,식대지원",상시채용,경력 10-15년
304,자이온아이티에스,python 개발자(5년 이상),서울 서초구,서울특별시 서초구 반포대로22길 39 4층,"커피·스낵바,식대지원,유망산업,통신비,인원급성장,50명이하,설립10년이상",상시채용,경력 5-10년
305,제이디아이,웹/앱 프론트 개발자,서울 구로구,서울특별시 구로구 디지털로27가길 17 504호,"유망산업,장비지원,커피·스낵바,50명이하,설립3년이하",2024.05.30,경력 1-5년
306,퀸텟시스템즈,R&D팀 프론트 개발자,서울 영등포구,"서울 영등포구 여의나루로 71, 16층","육아휴직,건강검진지원,보너스,사내동호회,자기계발지원,연봉상위11~20%,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.05.12,경력 5-20년
307,스탠바이랩,프론트엔드 엔지니어(병역특례/산업기능요원/보충역/전직),서울 강남구,서울특별시 강남구 테헤란로77길 14 ES타워 1101호,"자유로운휴가,자기계발지원,유연근무,식대지원,커피·스낵바,산업기능요원,인원급성장,50명이하,설립4~9년",2024.05.31,신입
308,아우름플래닛(Liner),[100억↑투자] 프로덕트 데이터 분석가,서울 마포구,"서울특별시 마포구 양화로 140, 8층","커피·스낵바,산업기능요원,전문연구요원,식대지원,연봉상위2~5%,인원급성장,50명이하,설립10년이상",2024.06.30,경력 3-10년
309,씨엘모빌리티,AI연구소 모빌리티 서비스 시스템 개발자,서울 강남구,서울특별시 강남구 강남대로 318 타워837 8층,"커피·스낵바,자기계발지원,건강검진지원,복지포인트,유연근무,유망산업,연봉업계평균이상,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",2024.06.06,경력 3-7년
310,다우기술,"Linux 서버 SW C,C++ 개발",경기 성남시,경기도 성남시 수정구 금토로 69 다우디지털스퀘어,"유연근무,자기계발지원,복지포인트,대출지원,연봉상위1%,인원급성장,301~1,000명,설립10년이상",2024.05.12,경력 3-10년
311,다비오(Dabeeo),백엔드 개발자,서울 마포구,"서울 마포구 마포대로 144 (공덕동, 마포T타운) 8층","유연근무,리프레시휴가,식대지원,연봉상위6~10%,인원급성장,51~300명,설립10년이상",상시채용,경력 5-10년
312,시나몬,[200억↑투자] Devops Engineer,서울 서초구,서울특별시 서초구 효령로77길28,"커피·스낵바,스톡옵션,휴가비,유망산업,연봉상위6~10%,51~300명,설립4~9년",상시채용,경력 5-15년
313,미리디,[미리캔버스] 시니어 프론트엔드 개발자,서울 구로구,"디지털로31길 12, 8층 (구로동, 태평양물산)","유연근무,재택근무,사내동호회,인원급성장,연봉상위11~20%,51~300명,설립10년이상",2024.05.20,경력 5-12년
314,에이미파이,프론트엔드 개발자 (부산),부산 남구,"부산 남구 전포대로133, 13층 110호","커피·스낵바,보너스,재택근무",상시채용,경력 3-8년
315,먼슬리키친,Front-end 개발자(Flutter/앱) (10년이상),서울 강남구,"영동대로 312, 6층","편의시설,식대지원,보너스,연봉업계평균이상,인원성장,51~300명,설립4~9년",상시채용,경력 10-20년
316,배움,학점은행 LMS 웹(ASP) 개발자,서울 강남구,서울특별시 강남구 언주로 727,"커피·스낵바,자기계발지원,유연근무,연봉업계평균이상,50명이하,설립10년이상",상시채용,경력 5-10년
317,머플,Senior Frontend Engineer,경기 성남시,"경기도 성남시 분당구 판교로 289번길 20, 2동 5층","연봉상위2~5%,50명이하,설립3년이하",2024.05.31,경력 6-15년
318,니어스랩,소프트웨어 엔지니어(로보틱스 퍼셉션),서울 송파구,서울시 송파구 정의로8길 9 AJ빌딩 본관 3층,"커피·스낵바,유연근무,건강검진지원,자율복장,편의시설,유망산업,연봉상위1%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-10년
319,렉스퍼,[3년이상] 프론트엔드 개발자 React/React Native/Node.js,서울 강남구,"서울특별시 강남구 압구정로4길 14-2, 3층","유망산업,인원급성장,50명이하,설립4~9년",상시채용,경력 3-5년
320,에이치투오호스피탈리티,[H2O KOREA] 예약사업부 개발팀 백엔드 개발자,서울 강남구,"서울특별시 강남구 논현로98길 28, 2층(역삼동)","육아휴직,편의시설,장비지원,출산휴가,연봉상위2~5%,50명이하,설립4~9년",2024.05.31,경력 1-3년
321,베스텔라랩,App(FrontEnd) 개발자(경기/대구)(병특가능),경기 ,안양시 동안구 엘에스로116번길 118 안양2차 SKV1 Center,"커피·스낵바,연봉업계평균이상,인원급성장,50명이하,설립4~9년",2024.05.28,경력 2-5년
322,나무기술,클라우드 솔루션 개발자,서울 강서구,마곡중앙8로3길 41,"유망산업,연봉상위2~5%,인원급성장,51~300명,설립4~9년",2024.05.31,경력 8-15년
