,기업명,채용공고,위치,위치상세,태그,마감일,경력
132,파마브로스,프론트엔드 엔지니어 (5년 이상),서울 강남구,"서울시 강남구 논현로 85길 22, 동경빌딩 5층 (역삼역 3번 출구 3분거리)","장비지원,자율복장,커피·스낵바,편의시설,자유로운휴가,자기계발지원,연봉업계평균이상,인원급성장,50명이하,설립3년이하",2024.06.07,경력 5-7년
133,쿼리시스템즈,자사 제품 개발 AI 전문가,경기 성남시,성남시 분당구 서현동 246-2 신영팰리스타워,"유망산업,연봉상위11~20%,인원급성장,50명이하,설립10년이상",상시채용,경력 5-20년
134,넷스루,프론트엔드 개발자 (5년 이상),서울 성동구,"성동구 광나루로8길 31, 성수SKV1센터 2동 7층","편의시설,단체보험,유연근무,사내동호회,커피·스낵바,보너스,건강검진지원,자기계발지원,워크샵,연봉상위2~5%,인원급성장,51~300명,퇴사율 6~10%,설립10년이상",상시채용,경력 5-15년
135,앰버로드,PM 및 백엔드 엔지니어,서울 강남구,서울 강남구 역삼동 선릉로 551,"자유로운휴가,커피·스낵바,유망산업,식대지원",상시채용,경력 5-15년
136,안티그래비티,데이터 사이언티스트,서울 성동구,서울 성동구 성수이로22길 37 (성수동2가) 아크밸리 지식산업 센터 303c호 안티그래비티,"스톡옵션,유연근무,유급휴가,자기계발지원,식대지원,워크샵,자유로운휴가,보너스,연봉상위11~20%,인원급성장,50명이하,설립4~9년",상시채용,경력 1-20년
137,오렌지아이,Java 리액트 프론트엔드 개발자 (판교),서울 ,경기도 분당구 판교로255번길 9-22,"커피·스낵바,사내동호회,유연근무,건강검진지원,식대지원,복지포인트,연봉업계평균이상,인원급성장,50명이하,설립4~9년,신규포지션",2024.05.31,경력 4-6년
138,마스오토,머신러닝 엔지니어,서울 서초구,"서초구 논현로 145, 수냐빌딩 3층","스톡옵션,식대지원,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 3-20년
139,누리랩,응용개발자 및 악성코드 분석가,서울 영등포구,"서울 영등포구 영신로 220, 1306호","유연근무,식대지원,커피·스낵바,연봉업계평균이상,인원급성장,50명이하,퇴사율 6~10%,설립4~9년",상시채용,경력 2-5년
140,피어테크(지닥),백엔드 개발자(펀드서비스 담당),서울 강남구,"서울 강남구 봉은사로 112길 6 , 3층 (익성빌딩)","유망산업,스톡옵션,식대지원,출산휴가,커피·스낵바,자기계발지원,육아휴직,건강검진지원,보너스,연봉업계평균이상,50명이하,설립4~9년",2024.05.30,경력 3-5년
141,더스윙,[SWING] DevOps Engineer,서울 용산구,"서울시 용산구 서빙고로 17, 용산 센트럴파크타워, 28F 더스윙","자기계발지원,식대지원,유급휴가,커피·스낵바,건강검진지원,스톡옵션,연봉업계평균이상,51~300명,설립4~9년",2024.05.31,경력 5-10년
142,테스트웍스,"웹/플랫폼 개발자(Frontend , React)",서울 송파구,서울특별시 송파구 백제고분로41길 40 부영빌딩,"유망산업,워크샵,식대지원,사내동호회,스톡옵션,커피·스낵바,인원급성장,51~300명,설립4~9년",상시채용,경력 4-13년
143,라온피플,Senior Back-end Engineer,경기 과천시,"경기도 과천시 과천대로7나길 60, 어반허브 C동 5,6층","유망산업,식대지원,건강검진지원,커피·스낵바,연봉상위1%,인원급성장,51~300명,설립10년이상",상시채용,경력 10-15년
144,데이터라이즈,[100억↑투자] Data Engineer,서울 강남구,"서울특별시 강남구 도곡로 205, YK빌딩 6층","자기계발지원,커피·스낵바,재택근무,건강검진지원,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 2-10년
145,케이에이씨미디어그룹,프론트엔드 엔지니어 (시니어),서울 종로구,서울 종로구 종로 6 광화문우체국 5층 스타트업빌리지,,상시채용,경력 5-10년
146,오케스트로,Machine Learning Research Scientist,서울 영등포구,서울시 영등포구 여의대로 108 PARC1 NH금융타워(PARK ONE TOWER 2) 빌딩 43층,"자기계발지원,자유로운휴가,건강검진지원,식대지원,유망산업,연봉업계평균이상,인원급성장,301~1,000명,설립4~9년",상시채용,경력 2-5년
147,오엠티아이코리아,[신입] ASP.NET 개발자,서울 서초구,"서울특별시 서초구 서초대로27길 54, 1층","커피·스낵바,편의시설,연봉상위11~20%,50명이하,설립10년이상",2024.05.19,신입
148,엘케이알,시니어 웹 풀스택 개발자(PL급),서울 마포구,서울 마포구 만리재로 14,"커피·스낵바,보너스,편의시설,연봉업계평균이상,50명이하,설립3년이하",상시채용,경력 8-15년
149,엑스바디,프론트엔드 개발자 (5년 이상),서울 금천구,"서울시 금천구 가산디지털 1로 151,이노플렉스BD 1차 9F","건강검진지원,워크샵,휴가비,커피·스낵바,연봉업계평균이상,50명이하,설립10년이상",상시채용,경력 5-10년
150,그로잉랩,웹 프론트엔드 개발자,서울 강남구,강남구 역삼로 168,"장비지원,보너스,식대지원",상시채용,경력 5-10년
151,도슨티,AI engineer (prompt engineer),서울 ,서울 관악구 남현동 승방4길2 네스코 수피아,,상시채용,신입-경력 15년
152,베어로보틱스코리아,Multi Robot 소프트웨어 개발자,서울 성동구,서울 성동구 성수일로 10,"건강검진지원,자기계발지원,보너스,커피·스낵바,유망산업,설립4~9년",2024.05.15,경력 3-10년
153,미러,블록체인 / 웹 풀스택 개발자,경기 성남시,금토로 32 KT 판교빌딩 EAST동 4층 5호 (KT판교사옥),"50명이하,설립3년이하",2024.05.31,경력 3-13년
154,비랩트,Software Engineer - Frontend(5년 이상),서울 강남구,서울시 강남구 강남대로132길 48 금옥빌딩 405호,"커피·스낵바,식대지원,인원급성장,50명이하,설립3년이하",상시채용,경력 4-10년
155,리젠부스터,백엔드 개발자,서울 강남구,"서울시 강남구 테헤란로 123, 5층","유연근무,커피·스낵바",상시채용,경력 3-5년
156,브링코,일상상점 서비스 웹 개발자,서울 강서구,서울특별시 강서구 마곡중앙로 171 프라이빗타워 2차 1212호 (주)브링코,"장비지원,자기계발지원,유연근무,식대지원,연봉업계평균이상,50명이하,설립4~9년",2024.05.17,경력 3-10년
157,비랩트,Software Engineer - Frontend(5년 이상),서울 강남구,서울시 강남구 강남대로132길 48 금옥빌딩 405호,"커피·스낵바,식대지원,인원급성장,50명이하,설립3년이하",상시채용,경력 4-10년
158,리젠부스터,백엔드 개발자,서울 강남구,"서울시 강남구 테헤란로 123, 5층","유연근무,커피·스낵바",상시채용,경력 3-5년
159,앵커스,JavaScript 웹개발자 (7년 이상),서울 마포구,"마포구 양화로 125, 9/10층","의료비지원,사내동호회,커피·스낵바,통신비,자기계발지원,식대지원,보너스,복지포인트,연봉상위11~20%,인원급성장,51~300명,설립4~9년",상시채용,경력 7-20년
160,이너트립,개발리드(5년 이상),서울 마포구,스파크플러스 홍대점,"워크샵,재택근무,스톡옵션,자기계발지원,유연근무,보너스,커피·스낵바,인원급성장,50명이하,설립3년이하",상시채용,경력 5-10년
161,와이즐리컴퍼니,애널리틱스 엔지니어,서울 서초구,서울특별시 서초구 서초대로 396(강남빌딩) 스파크플러스 강남2호점 18층 와이즐리컴퍼니,"건강검진지원,커피·스낵바,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 3-10년
162,아주큐엠에스,Java 개발,서울 서초구,서울특별시 서초구 강남대로 351 청남빌딩 8층,"건강검진지원,유망산업,연봉상위11~20%,인원급성장,50명이하,설립10년이상",상시채용,경력 6-12년
